Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G2_KL110_GCA_964037185,G2_KL111_GCA_964046125,G2_KL112_GCA_964050255,G2_KL113_ERR999925,G2_KL114_ERR9845308,G2_KL115_GCA_964038575,G2_KL116_GCA_964050505,G2_KL117_GCA_964047655,G2_KL118_GCA_964041045,G2_KL119_ERR3970455,G2_KL120_GCA_964038565,G2_KL121_GCA_964053085,G2_KL122_GCA_964045655,G2_KL123_GCA_964038935,G2_KL124_GCA_964049275,G2_KL125_SAMN04993121,G2_KL126_GCA_964044195,G2_KL127_GCA_964042775,G2_KL128_SAMN04096287,G2_KL129_ERR435357,G2_KL130_ERR3970833,G2_KL131_SAMEA3322059,G2_KL133_GCA_964049825,G2_KL134_GCA_964044685,G2_KL135_ERR4034834,G2_KL137_GCA_964038275,G2_KL138_GCA_964050115,G2_KL139_ERR434849,G2_KL141_ERR435091,G2_KL142_GCA_964052785,G2_KL144_ERR4034177,G2_KL145_ERR435060,G2_KL146_ERR435310,G2_KL148_GCA_964052375,G2_KL149_ERR434290,G2_KL153_SAMEA3357406,G2_KL154_GCA_964055465,G2_KL155_SAMEA4428255,G2_KL156_GCA_964040975,G2_KL157_GCA_964038965,G2_KL159_GCA_964044845,G2_KL161_ERR3970235,G2_KL164_SRR6111979,G2_KL165_SAMN07177512,G2_KL167_GCA_964054585,G2_KL169_GCA_964048365,G2_KL170_SAMN02801815,G2_KL171_ERR13369634,G2_KL174_SAMEA4559551,G2_KL175_ERR13499600,K100_G2_KL100_CP013658,K12_G2_KL12_GCA_964041105,K13-K23_G2_KL13_ERR999921,K14_G2_KL14_GCA_964036905,K15_G2_KL15_CP000247,K16_G2_KL16_GCA_964043075,K1_G2_KL1_CP000243,K20_G2_KL20_MG739438,K24_G2_KL24_GCA_964052925,K2_G2_KL2_MG736912,K4_G2_KL4_GCA_964038165,K52_G2_KL52_CU928163,K53_G2_KL53_GCA_964056125,K5_G2_KL5_CP013831,K7_G2_KL7_GCA_964052145,K82_G2_KL82_GCA_964037765,K92_G2_KL92_MG739441,K93_G2_KL93_ERR1036227
kpsM_7,kpsM_7,Transport permease protein,1,1,1,1,133,,,11,777,777,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
kpsT_6,kpsT_6,ABC transporter ATP-binding protein,1,1,1,1,145,,,12,669,669,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
kpsM_3,kpsM_3,ABC transporter permease,1,1,1,1,132,,,13,777,777,777,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_91,DB_group_91,Glycosyl transferase family 2 protein,13,13,1,1,76,,,14,474,1467,1342.1538461538462,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,1,,,,1,1,,,,1,,1,,,,,,,,,,,1,,1,,,,,1
ugd,ugd,UDP-glucose 6-dehydrogenase,12,12,1,1,84,,,15,1134,1296,1171.25,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,1,1,,,,1,,1,,,,,,,,,,,1,,1,,,,,1
kfoA,kfoA,UDP-glucose/galactose-4-epimerase,9,10,1.1111111111111112,1,72,,,16,171,1026,910.8,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,
kfoC,kfoC,Acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase,8,8,1,1,88,,,17,2061,2073,2066.625,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
DB_group_101,DB_group_101,putative-Capsule-biosynthesis-protein,7,7,1,1,94,,,18,993,993,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,
DB_group_110,DB_group_110,bifunctional-Ribulose-5-phosphate-reductase/CDP-ribitol-pyrophosphorylase,6,6,1,1,98,,,19,1374,1419,1389,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
kslA,kslA,glycerol-3-phosphate-cytidyltransferase,6,6,1,1,96,,,20,396,396,396,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,
DB_group_75,DB_group_75,capsule-O-acetyl-transferase,4,4,1,1,59,,,21,816,3039,2020.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
wcaK,wcaK,Polysaccharide pyruvyl transferase,4,4,1,1,35,,,22,249,1128,908.25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
kfoD,kfoD,Uncharacterized protein kfoD,4,4,1,1,28,,,23,888,1434,1285.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
kfoB,kfoB,KfiB protein,4,4,1,1,27,,,24,1608,1641,1624.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
DB_group_2,DB_group_2,Teichoic acid glycerol-phosphate transferase,4,4,1,1,2,,,25,3747,3747,3747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
kfiA,kfiA,N-acetylglucosaminyl-transferase,3,3,1,1,141,,,26,717,717,717,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
DB_group_139,DB_group_139,Glycosyltransferase,3,3,1,1,124,,,27,990,990,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
DB_group_129,DB_group_129,Stealth protein CR2 conserved region 2 domain-containing protein,3,3,1,1,114,,,28,1092,1092,1092,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
neuC,neuC,UDP-N-acetylglucosamine 2-epimerase,3,3,1,1,104,,,29,1176,1176,1176,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
cps2A_2,cps2A_2,Cps2A,3,3,1,1,99,,,30,1101,1110,1107,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuD,neuD,sialic-acid-synthase,3,3,1,1,78,,,31,444,624,564,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
ybl127,ybl127,ybl127,3,3,1,1,77,,,32,930,1071,987,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
kfiB,kfiB,KfiB-protein,3,5,1.6666666666666667,1,66,,,33,492,1689,979.8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
DB_group_80,DB_group_80,Hydrolase-(HAD-superfamily)-like-protein,3,4,1.3333333333333333,1,65,,,34,1578,3357,2514.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
glf,glf,UDP-galactopyranose mutase,3,3,1,1,63,,,35,1107,1110,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1
neuS,neuS,Glycosyl transferase,3,3,1,1,62,,,36,1230,1230,1230,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
rffE_2,rffE_2,UDP-N-acetylglucosamine-2-epimerase,3,3,1,1,57,,,37,1140,2523,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
DB_group_56,DB_group_56,CDP-glycerol glycerophosphotransferase family protein,3,4,1.3333333333333333,1,43,,,38,1014,3522,2642.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
kfoE,kfoE,capsular-polysaccharide,3,4,1.3333333333333333,1,42,,,39,441,1569,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
kfiC,kfiC,Glycosyltransferase family 2 protein;glycosyl-transferase-family-2-protein,3,4,1.3333333333333333,1,41,,,40,519,1563,1154.25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
kfiB_3,kfiB_3,KfiB-protein,3,3,1,1,39,,,41,843,1752,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1
DB_group_50,DB_group_50,hypothetical protein,3,3,1,1,38,,,42,102,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
DB_group_49,DB_group_49,Glycosyltransferase family 2 protein,3,3,1,1,37,,,43,1671,1995,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1
DB_group_47,DB_group_47,putative-capsular-polysaccharide,3,3,1,1,36,,,44,498,732,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
neuA,neuA,N-acylneuraminate cytidylyltransferase,3,3,1,1,34,,,45,660,1257,1058,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
neuE,neuE,polysialic acid biosynthesis protein,3,3,1,1,32,,,46,1149,1149,1149,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
DB_group_17,DB_group_17,Capsule biosynthesis phosphatase,3,3,1,1,12,,,47,381,381,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
vatD,vatD,Antibiotic acetyltransferase,2,2,1,1,149,,,48,630,630,630,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
DB_group_165,DB_group_165,Acyltransferase,2,2,1,1,144,,,49,669,669,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
DB_group_158,DB_group_158,DUF6270 domain-containing protein,2,2,1,1,138,,,50,738,738,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
DB_group_140,DB_group_140,Alpha/beta hydrolase,2,2,1,1,123,,,51,990,990,990,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kslE,kslE,6-bladed beta-propeller,2,2,1,1,122,,,52,996,996,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
neuB,neuB,N-acylneuraminate-9-phosphate synthase,2,2,1,1,116,,,53,1041,1041,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
ybl128,ybl128,ybl128,2,2,1,1,112,,,54,1137,1137,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
kfiD,kfiD,UDP-glucose 6-dehydrogenase,2,2,1,1,103,,,55,1179,1179,1179,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
kslB,kslB,lipopolysaccharide-assembly-protein,2,2,1,1,101,,,56,1236,1236,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
DB_group_108,DB_group_108,glycosyltransferase,2,2,1,1,95,,,57,930,936,933,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_105,DB_group_105,Capsular biosynthesis protein,2,2,1,1,93,,,58,369,372,370.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
DB_group_102,DB_group_102,Capsule polysaccharide biosynthesis protein,2,2,1,1,92,,,59,1617,1626,1621.5,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rffD,rffD,UDP-N-acetyl-D-mannosamine dehydrogenase,2,2,1,1,89,,,60,1254,1254,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
capA,capA,putative-capsular-polysaccharide-modification-protein,2,2,1,1,83,,,61,3339,3345,3342,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_97,DB_group_97,Glycosyltransferase 2-like prokaryotic type domain-containing protein,2,2,1,1,82,,,62,2262,2283,2272.5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
DB_group_90,DB_group_90,Capsule polysaccharide biosynthesis protein,2,2,1,1,79,,,63,2091,2106,2098.5,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_89,DB_group_89,Capsular polysaccharide modification protein,2,2,1,1,73,,,64,684,696,690,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybl130_4,ybl130_4,CDP-glycerol--glycerophosphate glycerophosphotransferase,2,2,1,1,70,,,65,1197,1197,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_51,DB_group_51,Hydrolase-(HAD-superfamily)-like-protein,2,3,1.5,1,64,,,66,1371,3510,2341,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kslC,kslC,CDP-glycerol-glycerophosphotransferase-family-protein,2,3,1.5,1,55,,,67,981,3801,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
DB_group_70,DB_group_70,Glycosyl transferase 2 family protein,2,2,1,1,53,,,68,2763,2763,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
DB_group_57,DB_group_57,hypothetical protein,2,2,1,1,52,,,69,1743,1743,1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
ybl130_3,ybl130_3,CDP-glycerol--glycerophosphate glycerophosphotransferase,2,2,1,1,51,,,70,1299,1308,1303.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ybl128_4,ybl128_4,CDP-glycerol glycerophosphotransferase,2,2,1,1,50,,,71,1125,1125,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_60,DB_group_60,hypothetical protein,2,2,1,1,45,,,72,1116,1284,1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
kslD,kslD,XcbB/CpsF family capsular polysaccharide biosynthesis protein,2,3,1.5,1,44,,,73,465,1029,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
DB_group_43,DB_group_43,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase;CDP-glycerol glycerophosphotransferase family protein,2,3,1.5,1,40,,,74,495,3324,2192,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
DB_group_45,DB_group_45,glycosyltransferase,2,2,1,1,31,,,75,999,1668,1333.5,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_44,DB_group_44,Capsular polysaccharide biosynthesis protein,2,2,1,1,30,,,76,936,1578,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
kfiB_2,kfiB_2,KfiB-protein,2,2,1,1,26,,,77,750,1755,1252.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_5,DB_group_5,hypothetical protein,1,1,1,1,151,,,78,513,513,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
DB_group_173,DB_group_173,Acyltransferase,1,1,1,1,150,,,79,615,615,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_170,DB_group_170,DUF115 domain-containing protein,1,1,1,1,148,,,80,639,639,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
DB_group_169,DB_group_169,Capsule O-acetyl transferase,1,1,1,1,147,,,81,642,642,642,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_167,DB_group_167,acyltransferase,1,1,1,1,146,,,82,666,666,666,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_163,DB_group_163,hypothetical protein,1,1,1,1,143,,,83,675,675,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_162,DB_group_162,acyltransferase,1,1,1,1,142,,,84,684,684,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DB_group_160,DB_group_160,Glycosyltransferase family 2 protein,1,1,1,1,140,,,85,717,717,717,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vatD_2,vatD_2,CatB-related O-acetyltransferase,1,1,1,1,139,,,86,738,738,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
DB_group_157,DB_group_157,Capsular biosynthesis protein,1,1,1,1,137,,,87,747,747,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
DB_group_156,DB_group_156,SGNH/GDSL hydrolase family protein,1,1,1,1,136,,,88,756,756,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
DB_group_155,DB_group_155,CatB-related O-acetyltransferase,1,1,1,1,135,,,89,756,756,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
DB_group_154,DB_group_154,Glycosyltransferase family 2 protein,1,1,1,1,134,,,90,762,762,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_151,DB_group_151,acyltransferase,1,1,1,1,131,,,91,789,789,789,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_149,DB_group_149,Glycosyltransferase family 4 protein,1,1,1,1,130,,,92,867,867,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
